question_id,topic,question_text,tags,correct_answer,model_answer,is_correct,model_name,timestamp,response_time,raw_response
aaronic_priesthood_1,Aaronic Priesthood,Which set lists only offices of the Aaronic Priesthood as described in Doctrine and Covenants 107?,doctrinal;priesthood-offices;Aaronic Priesthood,"Deacon, Teacher, Priest, Bishop",A,False,claude,2025-08-27 21:02:55,1.724747896194458,A
aaronic_priesthood_2,Aaronic Priesthood,"According to Doctrine and Covenants 13, which set best describes the keys of the Aaronic Priesthood?",doctrinal;scripture;Aaronic Priesthood,The ministering of angels; the gospel of repentance; and baptism by immersion for the remission of sins,A,False,claude,2025-08-27 21:02:57,1.587691068649292,A
aaronic_priesthood_3,Aaronic Priesthood,"Who restored the Aaronic Priesthood to Joseph Smith and Oliver Cowdery, and on what date?",historical;restoration;Aaronic Priesthood,"John the Baptist on May 15, 1829",A,False,claude,2025-08-27 21:03:00,1.8299860954284668,A
abortion_1,Abortion,Which of the following is identified in the Church's General Handbook as a possible exception in which abortion may be considered?,abortion;general-handbook;doctrinal,Pregnancy resulting from rape or incest,A,False,claude,2025-08-27 21:03:03,1.6559209823608398,A
abortion_2,Abortion,"If a member faces one of the rare exceptional circumstances regarding abortion, what does the Church counsel?",abortion;practical;pastoral-counsel,Counsel with a bishop or branch president and seek confirmation through earnest prayer before deciding,A,False,claude,2025-08-27 21:03:05,1.6844680309295654,A
abortion_3,Abortion,How does the Church view elective abortion for personal or social convenience?,abortion;gospel-topics;church-discipline,It is opposed by the Church and considered a serious sin; those involved may face membership restrictions or withdrawal,A,False,claude,2025-08-27 21:03:08,1.7815802097320557,A
"abraham,_book_of_1","Abraham, Book of","In Latter-day Saint scripture, the Book of Abraham is part of which standard work?",scripture;pearl-of-great-price;book-of-abraham;canon,The Pearl of Great Price,C,False,claude,2025-08-27 21:03:11,1.695755958557129,C
"abraham,_book_of_2","Abraham, Book of",Which chapters of the Book of Abraham present the Creation account that parallels Genesis?,scripture;book-of-abraham;creation;doctrine,Abraham 4–5,D,False,claude,2025-08-27 21:03:14,1.9540929794311523,D
"abraham,_book_of_3","Abraham, Book of","According to the Book of Abraham, from where did Abraham depart before leading his family to Haran?",scripture;book-of-abraham;history;geography,Ur of the Chaldees,B,False,claude,2025-08-27 21:03:17,1.81486177444458,B
abrahamic_covenant_1,Abrahamic Covenant,Which set best summarizes the primary promises of the Abrahamic covenant in Latter-day Saint scripture?,doctrinal;scripture;AbrahamicCovenant,"Numerous posterity, a land of inheritance, the gospel and priesthood, and blessing all nations",A,False,claude,2025-08-27 21:03:20,1.8248670101165771,A
abrahamic_covenant_2,Abrahamic Covenant,"According to Latter-day Saint doctrine, how do individuals today become heirs of the Abrahamic covenant?",practical;covenants;AbrahamicCovenant,"Through faith in Christ, baptism, and gospel covenants (including temple ordinances)",A,False,claude,2025-08-27 21:03:22,1.7526459693908691,A
abrahamic_covenant_3,Abrahamic Covenant,Which passage in the Pearl of Great Price explicitly links the Abrahamic covenant to bearing the ministry and Priesthood and blessing all nations?,scripture;PearlOfGreatPrice;AbrahamicCovenant,Abraham 2:9-11,A,False,claude,2025-08-27 21:03:25,1.6810798645019531,A
abuse_1,Abuse,"According to the General Handbook of The Church of Jesus Christ of Latter-day Saints, which statement best reflects the Church’s position on abuse?",abuse;general-handbook;policy;doctrine;safety,"Abuse is a serious sin that cannot be tolerated, and victims are never to be blamed.",A,False,claude,2025-08-27 21:03:28,1.6378250122070312,A
abuse_2,Abuse,"When Church leaders become aware of abuse, what is identified in the General Handbook as the first priority?",abuse;leader-guidelines;general-handbook;safety;policy,Ensuring the immediate safety and well-being of those affected,A,False,claude,2025-08-27 21:03:30,1.6554219722747803,A
abuse_3,Abuse,"In 'The Family: A Proclamation to the World,' what warning is given regarding those who abuse a spouse or offspring?",abuse;family-proclamation;doctrine;accountability,They will be held accountable before God.,A,False,claude,2025-08-27 21:03:33,1.7847390174865723,A
addiction_1,Addiction,"According to the Church’s Addiction Recovery Program (ARP) guide, what is identified as the ultimate source of healing from addiction?",addiction;doctrine;atonement;ARP,The Atonement of Jesus Christ,A,False,claude,2025-08-27 21:03:36,1.735719919204712,A
addiction_2,Addiction,Which official Church resource provides support group meetings for individuals and families affected by addiction?,addiction;church-programs;pastoral-care;welfare,Addiction Recovery Program (ARP),A,False,claude,2025-08-27 21:03:39,1.7426807880401611,A
addiction_3,Addiction,"According to official Church teachings, which of the following is an example of a behavioral addiction the Church warns against?",addiction;standards;pornography;FSY,Pornography use,A,False,claude,2025-08-27 21:03:41,1.653702974319458,A
adoption_1,Adoption,"According to LDS scripture and doctrine, how can those not born into the house of Israel become part of it?",doctrinal;scripture;house-of-israel;adoption,"By accepting the gospel and being baptized into Christ, thus becoming Abraham’s seed by covenant",A,False,claude,2025-08-27 21:03:46,3.3488881587982178,A
adoption_2,Adoption,"In Church history, when did President Wilford Woodruff announce the end of the ‘law of adoption’ practice and direct members to be sealed to their own ancestors?",historical;church-history;temple;adoption,1894,A,False,claude,2025-08-27 21:03:49,2.0306029319763184,A
adoption_3,Adoption,"According to the General Handbook, when may a legally adopted child be sealed to adoptive parents in a temple?",practical;policy;temple;sealing;adoption,After the legal adoption is finalized,A,False,claude,2025-08-27 21:03:51,1.598182201385498,A
adversity_1,Adversity,"According to 2 Nephi 2:11 in the Book of Mormon, which principle explains why adversity exists in mortality?",adversity;doctrinal;book-of-mormon;plan-of-salvation;opposition,There must be opposition in all things.,A,False,claude,2025-08-27 21:03:54,2.0799291133880615,A
adversity_2,Adversity,"In Doctrine and Covenants 122:7, what purpose does the Lord give for severe trials faced by Joseph Smith?",adversity;scripture;doctrine-and-covenants;liberty-jail;doctrinal,"All these things shall give thee experience, and shall be for thy good.",A,False,claude,2025-08-27 21:03:58,2.32122802734375,A
adversity_3,Adversity,"According to the General Handbook, what is the intended use of fast offerings administered by bishops to address members' temporal adversity?",adversity;practical;welfare;fast-offerings;general-handbook,To provide temporal assistance to the poor and those in need under the bishop’s direction,A,False,claude,2025-08-27 21:04:00,1.7086467742919922,A
agency_and_accountability_1,Agency and Accountability,"According to 2 Nephi 2:27, what fundamental choice does God grant to all people?",doctrinal;scripture;agency;Book of Mormon,"Liberty and eternal life through the Mediator, or captivity and death according to the power of the devil",A,False,claude,2025-08-27 21:04:03,1.6688950061798096,A
agency_and_accountability_2,Agency and Accountability,"In Latter-day Saint doctrine, at what age are children considered accountable and commanded to be baptized, according to Doctrine and Covenants 68:27?",practical;policy;accountability;baptism;Doctrine and Covenants,Eight years old,A,False,claude,2025-08-27 21:04:06,1.6200218200683594,A
agency_and_accountability_3,Agency and Accountability,Which Article of Faith teaches that individuals are punished for their own sins and not for Adam’s transgression?,doctrinal;accountability;Articles of Faith;Pearl of Great Price,Second Article of Faith,A,False,claude,2025-08-27 21:04:09,2.1642940044403076,A
apostasy_1,Apostasy,"In Latter-day Saint doctrine, what is meant by the 'Great Apostasy'?",apostasy;restoration;doctrine,"A period after the deaths of the New Testament apostles when priesthood authority and the fullness of the gospel were lost from the earth, necessitating the Restoration",A,False,claude,2025-08-27 21:04:12,2.4703290462493896,A
apostasy_2,Apostasy,"Which New Testament passage explicitly foretells a 'falling away' before the Second Coming, often cited by Latter-day Saints in connection with a general apostasy?",apostasy;scripture;New Testament,2 Thessalonians 2:3,A,False,claude,2025-08-27 21:04:15,1.6329138278961182,A
apostasy_3,Apostasy,"According to the General Handbook of The Church of Jesus Christ of Latter-day Saints, which of the following constitutes apostasy that may lead to membership restrictions or withdrawal?",apostasy;policy;handbook,"Repeatedly acting in clear, open, and deliberate public opposition to the Church or its leaders",A,False,claude,2025-08-27 21:04:17,1.4514141082763672,A
apostle_1,Apostle,"According to Doctrine and Covenants 107:23, what is the principal calling of the Twelve Apostles?",apostle;doctrine;D&C 107;priesthood,To be special witnesses of the name of Christ in all the world,A,False,claude,2025-08-27 21:04:20,1.7638211250305176,A
apostle_2,Apostle,"In official Church practice, which groups are sustained as prophets, seers, and revelators?",apostle;practice;leadership;prophets-seers-revelators,The First Presidency and the Quorum of the Twelve Apostles,A,False,claude,2025-08-27 21:04:23,1.6735780239105225,A
apostle_3,Apostle,In what year was the Quorum of the Twelve Apostles first organized in this dispensation?,apostle;history;Kirtland;church-organization,1835,A,False,claude,2025-08-27 21:04:26,1.9586303234100342,A
are_mormons_christian?_1,Are Mormons Christian?,"According to official teachings of The Church of Jesus Christ of Latter-day Saints, do its members consider themselves Christians who worship Jesus Christ?",doctrinal;identity;christology,Yes; they are Christians who believe Jesus Christ is the Son of God and the Savior.,A,False,claude,2025-08-27 21:04:29,1.9887728691101074,A
are_mormons_christian?_2,Are Mormons Christian?,"What revealed name of the Church, given in Doctrine and Covenants 115:4, underscores its Christian identity?",scripture;doctrinal;identity,The Church of Jesus Christ of Latter-day Saints,A,False,claude,2025-08-27 21:04:32,1.742049217224121,A
are_mormons_christian?_3,Are Mormons Christian?,What is the subtitle added to the Book of Mormon in 1982 that emphasizes its witness of Jesus Christ?,scripture;book-of-mormon;christology;history,Another Testament of Jesus Christ,A,False,claude,2025-08-27 21:04:34,1.7063217163085938,A
articles_of_faith_1,Articles of Faith,"According to Article of Faith 4, which of the following is NOT named as one of the first principles and ordinances of the Gospel?",Articles of Faith;doctrine;ordinances;scripture,Tithing,A,False,claude,2025-08-27 21:04:37,1.7041079998016357,A
articles_of_faith_2,Articles of Faith,In which book of Latter-day Saint scripture are the Articles of Faith officially published?,Articles of Faith;canon;Pearl of Great Price;scripture,Pearl of Great Price,C,False,claude,2025-08-27 21:04:39,1.4259929656982422,C
articles_of_faith_3,Articles of Faith,What does Article of Faith 8 teach about the Bible?,Articles of Faith;scripture;doctrine;Bible,That the Bible is the word of God as far as it is translated correctly,A,False,claude,2025-08-27 21:04:42,1.7548868656158447,A
atonement_of_jesus_christ_1,Atonement of Jesus Christ,Which aspect of the Atonement of Jesus Christ unconditionally overcomes physical death for all humankind?,atonement;resurrection;doctrine;scripture,His Resurrection,A,False,claude,2025-08-27 21:04:45,2.094122886657715,A
atonement_of_jesus_christ_2,Atonement of Jesus Christ,"According to Latter-day Saint scripture, in what setting did Jesus experience suffering so intense that He bled from every pore?",atonement;gethsemane;scripture,The Garden of Gethsemane,A,False,claude,2025-08-27 21:04:48,1.773179292678833,A
atonement_of_jesus_christ_3,Atonement of Jesus Christ,"According to Alma 7:11–13, why did Jesus Christ take upon Himself pains, sicknesses, and infirmities?",atonement;Book of Mormon;doctrine,To know according to the flesh how to succor His people,A,False,claude,2025-08-27 21:04:51,1.5734260082244873,A
baptism_1,Baptism,"According to official Latter-day Saint scripture, what is the required mode of baptism?",doctrinal;baptism;ordinances;scripture,By immersion in water,A,False,claude,2025-08-27 21:04:54,2.2281460762023926,A
baptism_2,Baptism,"In the LDS Church, which is the minimum priesthood office authorized to perform baptism by immersion (with proper authorization)?",practical;priesthood;baptism;policy,Priest (Aaronic Priesthood),C,False,claude,2025-08-27 21:04:56,1.4575469493865967,C
baptism_3,Baptism,Which Latter-day Saint scripture explicitly teaches that baptisms for the dead are to be performed in the temple (the Lord’s house)?,historical;doctrinal;baptism;temple;scripture,Doctrine and Covenants 124,A,False,claude,2025-08-27 21:04:59,1.5905311107635498,A
baptisms_for_the_dead_1,Baptisms for the Dead,"According to LDS scripture, where are baptisms for the dead to be performed?",doctrinal;temple;ordinances,In temples dedicated by proper authority,A,False,claude,2025-08-27 21:05:02,1.8889920711517334,A
baptisms_for_the_dead_2,Baptisms for the Dead,What is the minimum age for a Latter-day Saint to participate as a proxy in baptisms for the dead?,practical;policy;temple,12 years old,A,False,claude,2025-08-27 21:05:05,1.803415060043335,A
baptisms_for_the_dead_3,Baptisms for the Dead,"In Latter-day Saint belief, what determines whether a proxy baptism benefits a deceased person?",doctrinal;afterlife;ordinances,The deceased person’s acceptance of the ordinance in the spirit world,A,False,claude,2025-08-27 21:05:08,2.749889850616455,A
becoming_like_god_1,Becoming Like God,"Which Latter-day Saint scripture explicitly declares that those who are exalted ""shall be gods, even the sons of God""?",doctrinal;scripture;exaltation;becoming_like_god,Doctrine and Covenants 76:58,A,False,claude,2025-08-27 21:05:11,1.7545180320739746,A
becoming_like_god_2,Becoming Like God,"According to Romans 8:17, what status do faithful disciples receive that undergirds the Latter-day Saint teaching of becoming like God?",doctrinal;Bible;scripture;becoming_like_god,"Heirs of God, and joint-heirs with Christ",A,False,claude,2025-08-27 21:05:14,1.7803928852081299,A
becoming_like_god_3,Becoming Like God,"Which passage links the ""new and everlasting covenant"" of marriage with exaltation and becoming ""gods""?",doctrinal;scripture;celestial_marriage;exaltation;becoming_like_god,Doctrine and Covenants 132:19–20,A,False,claude,2025-08-27 21:05:17,2.0693891048431396,A
bible_1,Bible,"According to the Eighth Article of Faith of The Church of Jesus Christ of Latter-day Saints, how is the Bible regarded?",doctrine;Bible;Articles of Faith,It is the word of God as far as it is translated correctly,A,False,claude,2025-08-27 21:05:20,1.7158339023590088,A
bible_2,Bible,Which English Bible translation is officially used by the Church in its curriculum and publications?,practice;policy;Bible,King James Version (KJV),A,False,claude,2025-08-27 21:05:22,1.7234890460968018,A
bible_3,Bible,In what year did the Church first publish its LDS edition of the English King James Bible with cross-references and study aids?,history;Bible;standard works,1979,A,False,claude,2025-08-27 21:05:25,1.6346468925476074,A
"bible,_inerrancy_of_1","Bible, Inerrancy of","According to the eighth Article of Faith of The Church of Jesus Christ of Latter-day Saints, which statement best represents the Church's view of the Bible's inerrancy?",doctrine;scripture;Bible;inerrancy;Article of Faith,It is the word of God as far as it is translated correctly.,A,False,claude,2025-08-27 21:05:28,1.6773910522460938,A
"bible,_inerrancy_of_2","Bible, Inerrancy of",What do 1 Nephi 13:28–29 in the Book of Mormon teach about the integrity of the biblical record as it went forth among the Gentiles?,scripture;Book of Mormon;Bible;inerrancy;doctrine,Many plain and precious things were taken away from the record.,A,False,claude,2025-08-27 21:05:30,1.5214178562164307,A
"bible,_inerrancy_of_3","Bible, Inerrancy of","What did the Lord command Joseph Smith regarding the New Testament in Doctrine and Covenants 45:60–61, and what does this suggest about biblical inerrancy in Latter-day Saint belief?",scripture;Doctrine and Covenants;Joseph Smith Translation;Bible;inerrancy,"To translate it, implying the need for clarification and correction rather than assuming perfect inerrancy.",A,False,claude,2025-08-27 21:05:33,1.8194191455841064,A
