question_id,topic,question_text,tags,correct_answer,model_answer,is_correct,model_name,timestamp,response_time,raw_response
aaronic_priesthood_1,Aaronic Priesthood,Which set lists only offices of the Aaronic Priesthood as described in Doctrine and Covenants 107?,doctrinal;priesthood-offices;Aaronic Priesthood,"Deacon, Teacher, Priest, Bishop",A,False,gemini,2025-08-27 20:52:08,5.921313762664795,A
aaronic_priesthood_2,Aaronic Priesthood,"According to Doctrine and Covenants 13, which set best describes the keys of the Aaronic Priesthood?",doctrinal;scripture;Aaronic Priesthood,The ministering of angels; the gospel of repentance; and baptism by immersion for the remission of sins,A,False,gemini,2025-08-27 20:52:12,2.2419960498809814,A
aaronic_priesthood_3,Aaronic Priesthood,"Who restored the Aaronic Priesthood to Joseph Smith and Oliver Cowdery, and on what date?",historical;restoration;Aaronic Priesthood,"John the Baptist on May 15, 1829",A,False,gemini,2025-08-27 20:52:14,1.783052921295166,A
abortion_1,Abortion,Which of the following is identified in the Church's General Handbook as a possible exception in which abortion may be considered?,abortion;general-handbook;doctrinal,Pregnancy resulting from rape or incest,A,False,gemini,2025-08-27 20:52:17,2.069586992263794,A
abortion_2,Abortion,"If a member faces one of the rare exceptional circumstances regarding abortion, what does the Church counsel?",abortion;practical;pastoral-counsel,Counsel with a bishop or branch president and seek confirmation through earnest prayer before deciding,A,False,gemini,2025-08-27 20:52:21,2.2135257720947266,A
abortion_3,Abortion,How does the Church view elective abortion for personal or social convenience?,abortion;gospel-topics;church-discipline,It is opposed by the Church and considered a serious sin; those involved may face membership restrictions or withdrawal,A,False,gemini,2025-08-27 20:52:24,2.7405409812927246,A
"abraham,_book_of_1","Abraham, Book of","In Latter-day Saint scripture, the Book of Abraham is part of which standard work?",scripture;pearl-of-great-price;book-of-abraham;canon,The Pearl of Great Price,C,False,gemini,2025-08-27 20:52:28,2.225914239883423,C
"abraham,_book_of_2","Abraham, Book of",Which chapters of the Book of Abraham present the Creation account that parallels Genesis?,scripture;book-of-abraham;creation;doctrine,Abraham 4–5,D,False,gemini,2025-08-27 20:52:32,2.8798158168792725,D
"abraham,_book_of_3","Abraham, Book of","According to the Book of Abraham, from where did Abraham depart before leading his family to Haran?",scripture;book-of-abraham;history;geography,Ur of the Chaldees,B,False,gemini,2025-08-27 20:52:35,1.9976520538330078,B
abrahamic_covenant_1,Abrahamic Covenant,Which set best summarizes the primary promises of the Abrahamic covenant in Latter-day Saint scripture?,doctrinal;scripture;AbrahamicCovenant,"Numerous posterity, a land of inheritance, the gospel and priesthood, and blessing all nations",A,False,gemini,2025-08-27 20:52:43,7.089252233505249,A
abrahamic_covenant_2,Abrahamic Covenant,"According to Latter-day Saint doctrine, how do individuals today become heirs of the Abrahamic covenant?",practical;covenants;AbrahamicCovenant,"Through faith in Christ, baptism, and gospel covenants (including temple ordinances)",A,False,gemini,2025-08-27 20:52:47,3.1397347450256348,A
abrahamic_covenant_3,Abrahamic Covenant,Which passage in the Pearl of Great Price explicitly links the Abrahamic covenant to bearing the ministry and Priesthood and blessing all nations?,scripture;PearlOfGreatPrice;AbrahamicCovenant,Abraham 2:9-11,A,False,gemini,2025-08-27 20:52:53,4.700899124145508,A
abuse_1,Abuse,"According to the General Handbook of The Church of Jesus Christ of Latter-day Saints, which statement best reflects the Church’s position on abuse?",abuse;general-handbook;policy;doctrine;safety,"Abuse is a serious sin that cannot be tolerated, and victims are never to be blamed.",A,False,gemini,2025-08-27 20:52:56,2.800481081008911,A
abuse_2,Abuse,"When Church leaders become aware of abuse, what is identified in the General Handbook as the first priority?",abuse;leader-guidelines;general-handbook;safety;policy,Ensuring the immediate safety and well-being of those affected,A,False,gemini,2025-08-27 20:53:00,2.2441670894622803,A
abuse_3,Abuse,"In 'The Family: A Proclamation to the World,' what warning is given regarding those who abuse a spouse or offspring?",abuse;family-proclamation;doctrine;accountability,They will be held accountable before God.,A,False,gemini,2025-08-27 20:53:03,1.9584879875183105,A
addiction_1,Addiction,"According to the Church’s Addiction Recovery Program (ARP) guide, what is identified as the ultimate source of healing from addiction?",addiction;doctrine;atonement;ARP,The Atonement of Jesus Christ,A,False,gemini,2025-08-27 20:53:06,2.1637909412384033,A
