question_id,topic,question_text,tags,correct_answer,model_answer,is_correct,model_name,timestamp,response_time,raw_response
aaronic_priesthood_1,Aaronic Priesthood,Which set lists only offices of the Aaronic Priesthood as described in Doctrine and Covenants 107?,doctrinal;priesthood-offices;Aaronic Priesthood,"Deacon, Teacher, Priest, Bishop",A,False,openai,2025-08-27 20:39:11,1.1101500988006592,A
aaronic_priesthood_2,Aaronic Priesthood,"According to Doctrine and Covenants 13, which set best describes the keys of the Aaronic Priesthood?",doctrinal;scripture;Aaronic Priesthood,The ministering of angels; the gospel of repentance; and baptism by immersion for the remission of sins,A,False,openai,2025-08-27 20:39:13,0.6019599437713623,A
aaronic_priesthood_3,Aaronic Priesthood,"Who restored the Aaronic Priesthood to Joseph Smith and Oliver Cowdery, and on what date?",historical;restoration;Aaronic Priesthood,"John the Baptist on May 15, 1829",A,False,openai,2025-08-27 20:39:15,0.8856868743896484,A
abortion_1,Abortion,Which of the following is identified in the Church's General Handbook as a possible exception in which abortion may be considered?,abortion;general-handbook;doctrinal,Pregnancy resulting from rape or incest,A,False,openai,2025-08-27 20:39:16,0.494830846786499,A
abortion_2,Abortion,"If a member faces one of the rare exceptional circumstances regarding abortion, what does the Church counsel?",abortion;practical;pastoral-counsel,Counsel with a bishop or branch president and seek confirmation through earnest prayer before deciding,A,False,openai,2025-08-27 20:39:18,0.44709205627441406,A
abortion_3,Abortion,How does the Church view elective abortion for personal or social convenience?,abortion;gospel-topics;church-discipline,It is opposed by the Church and considered a serious sin; those involved may face membership restrictions or withdrawal,A,False,openai,2025-08-27 20:39:20,0.6900861263275146,A
"abraham,_book_of_1","Abraham, Book of","In Latter-day Saint scripture, the Book of Abraham is part of which standard work?",scripture;pearl-of-great-price;book-of-abraham;canon,The Pearl of Great Price,C,False,openai,2025-08-27 20:39:21,0.5332019329071045,C
"abraham,_book_of_2","Abraham, Book of",Which chapters of the Book of Abraham present the Creation account that parallels Genesis?,scripture;book-of-abraham;creation;doctrine,Abraham 4–5,D,False,openai,2025-08-27 20:39:23,0.5013628005981445,D
"abraham,_book_of_3","Abraham, Book of","According to the Book of Abraham, from where did Abraham depart before leading his family to Haran?",scripture;book-of-abraham;history;geography,Ur of the Chaldees,B,False,openai,2025-08-27 20:39:25,1.062507152557373,B
abrahamic_covenant_1,Abrahamic Covenant,Which set best summarizes the primary promises of the Abrahamic covenant in Latter-day Saint scripture?,doctrinal;scripture;AbrahamicCovenant,"Numerous posterity, a land of inheritance, the gospel and priesthood, and blessing all nations",A,False,openai,2025-08-27 20:39:26,0.5250730514526367,A
abrahamic_covenant_2,Abrahamic Covenant,"According to Latter-day Saint doctrine, how do individuals today become heirs of the Abrahamic covenant?",practical;covenants;AbrahamicCovenant,"Through faith in Christ, baptism, and gospel covenants (including temple ordinances)",A,False,openai,2025-08-27 20:39:28,0.5701770782470703,A
abrahamic_covenant_3,Abrahamic Covenant,Which passage in the Pearl of Great Price explicitly links the Abrahamic covenant to bearing the ministry and Priesthood and blessing all nations?,scripture;PearlOfGreatPrice;AbrahamicCovenant,Abraham 2:9-11,A,False,openai,2025-08-27 20:39:29,0.46036791801452637,A
abuse_1,Abuse,"According to the General Handbook of The Church of Jesus Christ of Latter-day Saints, which statement best reflects the Church’s position on abuse?",abuse;general-handbook;policy;doctrine;safety,"Abuse is a serious sin that cannot be tolerated, and victims are never to be blamed.",A,False,openai,2025-08-27 20:39:31,0.5417718887329102,A
abuse_2,Abuse,"When Church leaders become aware of abuse, what is identified in the General Handbook as the first priority?",abuse;leader-guidelines;general-handbook;safety;policy,Ensuring the immediate safety and well-being of those affected,A,False,openai,2025-08-27 20:39:32,0.6141219139099121,A
abuse_3,Abuse,"In 'The Family: A Proclamation to the World,' what warning is given regarding those who abuse a spouse or offspring?",abuse;family-proclamation;doctrine;accountability,They will be held accountable before God.,A,False,openai,2025-08-27 20:39:34,0.6840157508850098,A
addiction_1,Addiction,"According to the Church’s Addiction Recovery Program (ARP) guide, what is identified as the ultimate source of healing from addiction?",addiction;doctrine;atonement;ARP,The Atonement of Jesus Christ,A,False,openai,2025-08-27 20:39:36,0.693115234375,A
addiction_2,Addiction,Which official Church resource provides support group meetings for individuals and families affected by addiction?,addiction;church-programs;pastoral-care;welfare,Addiction Recovery Program (ARP),A,False,openai,2025-08-27 20:39:38,0.7276818752288818,A
addiction_3,Addiction,"According to official Church teachings, which of the following is an example of a behavioral addiction the Church warns against?",addiction;standards;pornography;FSY,Pornography use,A,False,openai,2025-08-27 20:39:39,0.5135488510131836,A
adoption_1,Adoption,"According to LDS scripture and doctrine, how can those not born into the house of Israel become part of it?",doctrinal;scripture;house-of-israel;adoption,"By accepting the gospel and being baptized into Christ, thus becoming Abraham’s seed by covenant",A,False,openai,2025-08-27 20:39:40,0.38690876960754395,A
adoption_2,Adoption,"In Church history, when did President Wilford Woodruff announce the end of the ‘law of adoption’ practice and direct members to be sealed to their own ancestors?",historical;church-history;temple;adoption,1894,A,False,openai,2025-08-27 20:39:42,0.51991868019104,A
